,H3_cell,mean_price,median_price,total_paid,count,geometry
0,85182993fffffff,290000.0,275000.0,3190000,11,"POLYGON ((-5.39163649541092 51.97830689396502, -5.494393955936717 51.92499627265971, -5.463929447656547 51.83907181114937, -5.331095374524543 51.80648091569761, -5.228511136178179 51.85972339013873, -5.258587548629632 51.94562471981433, -5.39163649541092 51.97830689396502))"
1,85182997fffffff,311705.82352941175,235000.0,5298999,17,"POLYGON ((-5.228511136178179 51.85972339013873, -5.331095374524543 51.80648091569761, -5.300968863578987 51.72047400887718, -5.168644474435362 51.68773355972245, -5.066234695487872 51.74090847329129, -5.095974655253904 51.82689121091614, -5.228511136178179 51.85972339013873))"
2,85182d23fffffff,185800.0,170000.0,10033200,54,"POLYGON ((-5.082651351106127 52.13731186900968, -5.185764733627501 52.08446484969014, -5.155739235845158 51.99866978786616, -5.022990493881321 51.96574592485506, -4.920055011909874 52.01852567374181, -4.949690184700649 52.10429636831296, -5.082651351106127 52.13731186900968))"
3,85182d27fffffff,217619.11627906977,192000.0,9357622,43,"POLYGON ((-4.920055011909874 52.01852567374181, -5.022990493881321 51.96574592485506, -4.99330251460907 51.8798688644427, -4.861067605632378 51.84679677048858, -4.758311219715988 51.89950984639003, -4.787610469138753 51.98536150263083, -4.920055011909874 52.01852567374181))"
4,85182d2ffffffff,276070.3125,226000.0,17668500,64,"POLYGON ((-5.155739235845158 51.99866978786616, -5.258587548629632 51.94562471981433, -5.228511136178179 51.85972339013873, -5.095974655253904 51.82689121091614, -4.99330251460907 51.8798688644427, -5.022990493881321 51.96574592485506, -5.155739235845158 51.99866978786616))"
5,85182d37fffffff,358458.3333333333,298000.0,8603000,24,"POLYGON ((-4.846490379003559 52.15687757631154, -4.949690184700649 52.10429636831296, -4.920055011909874 52.01852567374181, -4.787610469138753 51.98536150263083, -4.684591499925723 52.03787618657623, -4.713836061736165 52.12362137819722, -4.846490379003559 52.15687757631154))"
8,85187293fffffff,362045.45454545453,390000.0,3982500,11,"POLYGON ((-6.375900417630357 50.00201110786252, -6.475041217562749 49.94600678958152, -6.443971376780897 49.85867260511042, -6.314123014128928 49.82736409993692, -6.215132995378246 49.88329807586974, -6.245840333401537 49.97061072422721, -6.375900417630357 50.00201110786252))"
9,85187413fffffff,427405.2631578947,410000.0,8120700,19,"POLYGON ((-4.644286465227518 50.84460414227664, -4.745225563250929 50.79110785756839, -4.716589315562054 50.70440993741649, -4.58738720469263 50.67123703084574, -4.486623252181782 50.72466808674839, -4.514886110438098 50.81133710029483, -4.644286465227518 50.84460414227664))"
10,85187483fffffff,253704.66129032258,257500.0,15729689,62,"POLYGON ((-4.340812135809276 51.00418386722088, -4.442079299302558 50.95114230454934, -4.413871000975536 50.86457375009718, -4.284770729519976 50.83107672296119, -4.183683065913268 50.8840539917421, -4.211516032001266 50.970592403415, -4.340812135809276 51.00418386722088))"
11,85187487fffffff,315011.36363636365,288750.0,13860500,44,"POLYGON ((-4.183683065913268 50.8840539917421, -4.284770729519976 50.83107672296119, -4.256881457391906 50.74443773084482, -4.128278133462571 50.71080696363047, -4.027370979875902 50.76372049726491, -4.054886506355523 50.85032835634127, -4.183683065913268 50.8840539917421))"
