,wd20cd,wd20nm,total_population,mean_age,median_age,country,prediction
0,E05000026,Abbey,15770.0,30.4067850348763,31.0,England,False
1,E05000027,Alibon,10948.0,33.8655462184874,33.0,England,False
2,E05000028,Becontree,15261.0,32.3075814166831,32.0,England,False
3,E05000029,Chadwell Heath,11424.0,35.515143557423,34.0,England,False
4,E05000030,Eastbrook,11584.0,37.096080801105,35.0,England,False
5,E05000031,Eastbury,12824.0,33.1250779787898,32.0,England,False
6,E05000032,Gascoigne,12407.0,29.8529056177964,30.0,England,False
7,E05000033,Goresbrook,12112.0,34.39035667107,34.0,England,False
8,E05000034,Heath,12072.0,34.4163353214049,33.0,England,False
9,E05000035,Longbridge,12825.0,34.3391033138402,32.0,England,False
10,E05000036,Mayesbrook,11105.0,33.2226024313372,32.0,England,False
11,E05000037,Parsloes,11138.0,34.0215478541929,34.0,England,False
12,E05000038,River,12124.0,33.5100626855823,32.0,England,False
13,E05000039,Thames,15695.0,29.4807263459701,29.0,England,False
14,E05000040,Valence,11042.0,33.796957072994,33.0,England,False
15,E05000041,Village,11885.0,33.7587715607909,32.0,England,False
16,E05000042,Whalebone,12690.0,33.7104806934594,33.0,England,False
17,E05000043,Brunswick Park,16674.0,40.1687057694614,41.0,England,False
18,E05000044,Burnt Oak,19755.0,35.4673753480132,35.0,England,False
19,E05000045,Childs Hill,22502.0,37.3287263354369,35.5,England,False
20,E05000046,Colindale,26162.0,33.1083250516016,32.0,England,False
21,E05000047,Coppetts,18837.0,37.4424271380793,37.0,England,False
22,E05000048,East Barnet,17367.0,38.5416594691081,39.0,England,False
23,E05000049,East Finchley,17591.0,38.3524529588994,37.0,England,False
24,E05000050,Edgware,18816.0,37.109481292517,36.0,England,False
25,E05000051,Finchley Church End,17571.0,39.9030220249274,39.0,England,False
26,E05000052,Garden Suburb,16784.0,40.1498450905624,40.0,England,False
27,E05000053,Golders Green,21312.0,34.3824605855856,32.0,England,False
28,E05000054,Hale,18729.0,37.4833680388702,37.0,England,False
29,E05000055,Hendon,19650.0,35.7679389312977,33.0,England,False
30,E05000056,High Barnet,16394.0,42.0727705258021,43.0,England,False
31,E05000057,Mill Hill,20694.0,37.8797719145646,37.0,England,False
32,E05000058,Oakleigh,17013.0,40.3492035502263,40.0,England,False
33,E05000059,Totteridge,16315.0,40.5711308611707,40.0,England,False
34,E05000060,Underhill,16301.0,40.8567572541562,41.0,England,False
35,E05000061,West Finchley,18340.0,37.7321701199564,37.0,England,False
36,E05000062,West Hendon,19484.0,36.4266577704783,35.0,England,False
37,E05000063,Woodhouse,19578.0,38.5292164674635,38.0,England,False
38,E05000085,Alperton,16144.0,36.07148166501489,35.0,England,False
39,E05000086,Barnhill,16318.0,37.1402132614291,36.0,England,False
40,E05000087,Brondesbury Park,13120.0,38.7285823170732,37.0,England,False
41,E05000088,Dollis Hill,13710.0,36.1054704595186,34.0,England,False
42,E05000089,Dudden Hill,16091.0,36.2454788391026,35.0,England,False
43,E05000090,Fryent,13677.0,37.0522044307962,36.0,England,False
44,E05000091,Harlesden,18075.0,34.9473305670816,34.0,England,False
45,E05000092,Kensal Green,14938.0,36.7885259070826,37.0,England,False
46,E05000093,Kenton,11779.0,41.8495627812208,41.0,England,False
47,E05000094,Kilburn,17007.0,35.7990239313224,34.0,England,False
48,E05000095,Mapesbury,16594.0,36.4605279016512,34.0,England,False
49,E05000096,Northwick Park,13341.0,38.7323289108763,36.0,England,False
50,E05000097,Preston,16127.0,37.4479444409996,35.0,England,False
51,E05000098,Queens Park,14762.0,36.3764395068419,36.0,England,False
52,E05000099,Queensbury,15745.0,37.0616068593204,36.0,England,False
53,E05000100,Stonebridge,18706.0,33.9140917352721,32.0,England,False
54,E05000101,Sudbury,15462.0,36.5642219635235,36.0,England,False
55,E05000102,Tokyngton,18790.0,35.5408195848856,33.0,England,False
56,E05000103,Welsh Harp,14127.0,37.1604728534013,36.0,England,False
57,E05000104,Wembley Central,17496.0,36.7945244627343,36.0,England,False
58,E05000105,Willesden Green,17762.0,34.7946177232294,33.0,England,False
59,E05000106,Bickley,15604.0,42.443411945655,44.0,England,False
60,E05000107,Biggin Hill,9841.0,42.251600447109,44.0,England,False
61,E05000108,Bromley Common and Keston,17115.0,39.4046158340637,40.0,England,False
62,E05000109,Bromley Town,19801.0,37.7885965355285,37.0,England,False
63,E05000110,Chelsfield and Pratts Bottom,14931.0,41.703100930949,43.0,England,False
64,E05000111,Chislehurst,16064.0,42.5903261952191,43.0,England,False
65,E05000112,Clock House,16754.0,37.9251522024591,39.0,England,False
66,E05000113,Copers Cope,17760.0,40.5872184684685,39.0,England,False
67,E05000114,Cray Valley East,16913.0,38.1380594808727,37.0,England,False
68,E05000115,Cray Valley West,17855.0,37.0533183982078,37.0,England,False
69,E05000116,Crystal Palace,14281.0,36.1158882431202,35.0,England,False
70,E05000117,Darwin,5363.0,45.5166884206601,49.0,England,False
71,E05000118,Farnborough and Crofton,15106.0,43.4056666225341,45.0,England,False
72,E05000119,Hayes and Coney Hall,16218.0,42.0558021950919,44.0,England,False
73,E05000120,Kelsey and Eden Park,16637.0,41.5199254673319,43.0,England,False
74,E05000121,Mottingham and Chislehurst North,11012.0,36.9406102433709,37.0,England,False
75,E05000122,Orpington,16277.0,41.5649075382442,42.0,England,False
76,E05000123,Penge and Cator,19220.0,36.7915712799168,37.0,England,False
77,E05000124,Petts Wood and Knoll,13862.0,42.422522002597,44.0,England,False
78,E05000125,Plaistow and Sundridge,16205.0,39.363221228016,39.0,England,False
